"areacode","areaname","procode3","CountAdm"
"E06000001","Hartlepool","RVW",13157
"E06000001","Hartlepool","RTR",1000
"E06000001","Hartlepool","RTD",172
"E06000001","Hartlepool","RX3",153
"E06000001","Hartlepool","RXP",43
"E06000001","Hartlepool","R0B",69
"E06000001","Hartlepool","RTF",15
"E06000001","Hartlepool","RNL",10
"E06000001","Hartlepool","RCB",9
"E06000001","Hartlepool","RCD",6
"E06000001","Hartlepool","RR8",5
"E06000001","Hartlepool","RRV",5
"E06000001","Hartlepool","RBA",4
"E06000001","Hartlepool","RWY",4
"E06000001","Hartlepool","RR7",4
"E06000001","Hartlepool","RWA",3
"E06000001","Hartlepool","R0A",3
"E06000001","Hartlepool","REM",3
"E06000001","Hartlepool","RXL",3
"E06000001","Hartlepool","R1H",3
"E06000001","Hartlepool","RN5",3
"E06000001","Hartlepool","RJ1",3
"E06000001","Hartlepool","RDU",2
"E06000001","Hartlepool","RAE",2
"E06000001","Hartlepool","RGT",2
"E06000001","Hartlepool","RXR",2
"E06000001","Hartlepool","RCX",2
"E06000001","Hartlepool","RBL",2
"E06000001","Hartlepool","RJL",2
"E06000001","Hartlepool","RRK",3
"E06000001","Hartlepool","RTX",2
"E06000001","Hartlepool","RW1",2
"E06000001","Hartlepool","RA2",1
"E06000001","Hartlepool","RHQ",1
"E06000001","Hartlepool","RAJ",1
"E06000001","Hartlepool","RNS",1
"E06000001","Hartlepool","RBS",1
"E06000001","Hartlepool","RFS",1
"E06000001","Hartlepool","RJ2",1
"E06000001","Hartlepool","RJR",1
"E06000001","Hartlepool","RM3",1
"E06000001","Hartlepool","RNQ",1
"E06000001","Hartlepool","RXC",1
"E06000001","Hartlepool","RXF",1
"E06000001","Hartlepool","RXQ",1
"E06000001","Hartlepool","RXW",1
"E06000001","Hartlepool","REF",1
"E06000001","Hartlepool","RW6",1
"E06000001","Hartlepool","RA9",1
"E06000001","Hartlepool","RAX",1
"E06000001","Hartlepool","RMP",1
"E06000001","Hartlepool","RX4",1
"E06000001","Hartlepool","RNZ",1
"E06000001","Hartlepool","RRF",1
"E06000001","Hartlepool","R1F",1
"E06000001","Hartlepool","RBT",1
"E06000001","Hartlepool","RBZ",1
"E06000001","Hartlepool","RHM",1
"E06000001","Hartlepool","RHW",1
"E06000001","Hartlepool","RWD",1
"E06000001","Hartlepool","RFR",1
"E06000001","Hartlepool","RGN",1
"E06000001","Hartlepool","RTE",1
"E06000001","Hartlepool","RXH",1
"E06000002","Middlesbrough","RTR",19409
"E06000002","Middlesbrough","RVW",518
"E06000002","Middlesbrough","RX3",348
"E06000002","Middlesbrough","RTD",167
"E06000002","Middlesbrough","RXP",31
"E06000002","Middlesbrough","RCB",22
"E06000002","Middlesbrough","R0A",9
"E06000002","Middlesbrough","RR8",9
"E06000002","Middlesbrough","RR7",7
"E06000002","Middlesbrough","RTF",7
"E06000002","Middlesbrough","R0B",7
"E06000002","Middlesbrough","RNL",6
"E06000002","Middlesbrough","RWA",6
"E06000002","Middlesbrough","RK5",5
"E06000002","Middlesbrough","RTH",5
"E06000002","Middlesbrough","R1H",4
"E06000002","Middlesbrough","RQM",4
"E06000002","Middlesbrough","RD8",4
"E06000002","Middlesbrough","RJ1",4
"E06000002","Middlesbrough","RWF",4
"E06000002","Middlesbrough","RWD",3
"E06000002","Middlesbrough","RRK",3
"E06000002","Middlesbrough","RJ7",3
"E06000002","Middlesbrough","RXL",3
"E06000002","Middlesbrough","RTX",3
"E06000002","Middlesbrough","RWW",3
"E06000002","Middlesbrough","RHM",3
"E06000002","Middlesbrough","RBN",2
"E06000002","Middlesbrough","RHQ",2
"E06000002","Middlesbrough","RRV",3
"E06000002","Middlesbrough","RXF",2
"E06000002","Middlesbrough","RYR",2
"E06000002","Middlesbrough","RBK",2
"E06000002","Middlesbrough","RCD",2
"E06000002","Middlesbrough","RGT",2
"E06000002","Middlesbrough","RX1",2
"E06000002","Middlesbrough","RWG",2
"E06000002","Middlesbrough","RC9",2
"E06000002","Middlesbrough","RTP",2
"E06000002","Middlesbrough","RW6",2
"E06000002","Middlesbrough","RN5",2
"E06000002","Middlesbrough","RX4",2
"E06000002","Middlesbrough","RD1",1
"E06000002","Middlesbrough","RDD",1
"E06000002","Middlesbrough","RFF",1
"E06000002","Middlesbrough","RKB",1
"E06000002","Middlesbrough","RAX",1
"E06000002","Middlesbrough","RBA",1
"E06000002","Middlesbrough","RC1",1
"E06000002","Middlesbrough","RGN",1
"E06000002","Middlesbrough","RNA",1
"E06000002","Middlesbrough","RAE",1
"E06000002","Middlesbrough","RJL",1
"E06000002","Middlesbrough","RQ8",1
"E06000002","Middlesbrough","RVJ",1
"E06000002","Middlesbrough","RWY",1
"E06000002","Middlesbrough","RAP",1
"E06000002","Middlesbrough","RP5",1
"E06000002","Middlesbrough","REM",1
"E06000002","Middlesbrough","RBL",1
"E06000002","Middlesbrough","RKE",1
"E06000002","Middlesbrough","RM3",1
"E06000002","Middlesbrough","RP6",1
"E06000002","Middlesbrough","RPC",1
"E06000002","Middlesbrough","RQW",1
"E06000002","Middlesbrough","RWJ",1
"E06000002","Middlesbrough","RAJ",1
"E06000002","Middlesbrough","RBS",1
"E06000002","Middlesbrough","RJZ",1
"E06000002","Middlesbrough","RTK",1
"E06000002","Middlesbrough","R1K",1
"E06000002","Middlesbrough","RA9",1
"E06000002","Middlesbrough","RBZ",1
"E06000002","Middlesbrough","RJR",1
"E06000002","Middlesbrough","RM1",1
